대학이름,수준,최저,면접,논술유무,최저,점수
서울대학교,1,0,2,0,9,0
연세대학교,1,1,2,1,0,0
고려대학교,1,1,2,0,9,0
성균관대학교,1,0,2,1,1,0
서강대학교,1,0,0,1,1,0
한양대학교,1,0,0,1,0,0
중앙대학교,1,0,1,1,1,0
경희대학교,1,0,1,1,1,0
건국대학교,1,0,1,1,1,0
서울시립대학교,1,0,1,1,0,0
한국외국어대학교,2,0,1,1,1,0
홍익대학교,2,1,0,1,1,0
동국대학교,2,0,1,1,1,0
한국항공대학교,2,0,1,1,1,0
숭실대학교,2,0,0,1,1,0
아주대학교,2,0,1,1,0,0
국민대학교,2,0,1,0,9,0
인하대,2,0,1,1,0,0
가톨릭대학교,2,0,1,1,0,0
가천대학교,2,0,1,1,1,0
서울과학기술대학교,2,0,1,1,0,0
세종대학교,2,0,1,1,1,0
부산대학교,2,0,1,1,1,0
단국대학교(죽전),2,0,1,1,0,0
광운대학교,2,0,1,1,0,0
경북대학교,2,1,0,1,1,0
상명대학교,2,0,0,0,9,0
명지대학교,2,0,1,0,9,0
삼육대학교,2,0,1,1,1,0
경기대학교,2,0,1,0,9,0
충남대학교,3,0,1,0,9,0
서경대학교,3,9,9,1,0,0
전남대학교,3,0,1,0,9,0
충북대학교,3,1,0,0,9,0
강원대학교,3,0,0,0,9,0
한성대학교,3,0,0,0,9,0
전북대학교,3,0,1,0,9,0
한국교통대학교,3,0,1,0,9,0
한밭대,3,0,0,0,9,0
경상국립대학교,3,0,0,0,9,0
한경국립대학교(안성),3,1,0,0,9,0
한남대,3,0,1,0,9,0
수원대학교,3,9,9,1,0,0
대전대,3,9,9,0,9,0
성공회대학교,3,0,1,0,9,0
용인대학교,3,1,0,0,9,0
강남대학교,3,0,1,0,9,0
한세대학교,3,0,2,0,9,0
건양대,3,0,0,0,9,0
한신대학교,3,0,2,1,0,0
공주대,3,0,1,0,9,0
안양대학교,3,0,0,0,9,0
대진대학교,3,0,1,0,9,0
목원대,3,9,9,0,9,0
협성대학교,3,0,1,0,9,0
평택대학교,3,0,0,0,9,0
중부대학교,3,0,0,0,9,0
화성의과학대학교,3,9,9,0,9,0
을지대학교,3,0,1,0,9,0
신한대학교,3,0,0,0,9,0
